"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"04.01.2021 02:45 - 04.01.2021 03:00,""0"",""0"",""202"",""202"""
"04.01.2021 03:00 - 04.01.2021 03:15,""0"",""0"",""749"",""749"""
"04.01.2021 03:15 - 04.01.2021 03:30,""0"",""0"",""749"",""749"""
"04.01.2021 03:30 - 04.01.2021 03:45,""0"",""0"",""749"",""749"""
"04.01.2021 03:45 - 04.01.2021 04:00,""0"",""0"",""749"",""749"""
"04.01.2021 04:00 - 04.01.2021 04:15,""834"",""834"",""0"",""0"""
"04.01.2021 04:15 - 04.01.2021 04:30,""834"",""834"",""0"",""0"""
"04.01.2021 04:30 - 04.01.2021 04:45,""834"",""834"",""0"",""0"""
"04.01.2021 04:45 - 04.01.2021 05:00,""834"",""834"",""0"",""0"""
"04.01.2021 05:00 - 04.01.2021 05:15,""0"",""0"",""520"",""520"""
"04.01.2021 05:15 - 04.01.2021 05:30,""0"",""0"",""520"",""520"""
